"name","name_nfl","pos","team_nfl","positionRank_nfl","overallRank_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","twoPts_nfl","fumbles_nfl","pts_nfl"
"ALDRICKROBINSON","Aldrick Robinson","WR","WAS",124,310,0,0,0,6,0,NA,320,1,0,0,38.6
"DAVIDNELSON","David Nelson","WR","NYJ",125,311,0,0,0,0,0,NA,315,1,0,0,37.5
"DARICKROGERS","Da'Rick Rogers","WR","IND",126,312,0,0,0,6,0,NA,248,2,0,0,37.4
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",127,313,0,0,0,0,0,NA,313,1,0,0,37.3
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",128,314,0,0,0,0,0,NA,312,1,0,0,37.2
"SANTANAMOSS","Santana Moss","WR","WAS",129,315,0,0,0,0,0,NA,348,1,0,2,36.8
"JONBALDWIN","Jon Baldwin","WR",NA,130,316,0,0,0,0,0,NA,243,2,0,0,36.3
"JIMDRAY","Jim Dray","TE","CLE",50,316,0,0,0,0,0,NA,303,1,0,0,36.3
"JUNIORHEMINGWAY","Junior Hemingway","WR","KC",131,318,0,0,0,0,0,NA,258,2,0,1,35.8
"DEVIERPOSEY","DeVier Posey","WR","HOU",132,319,0,0,0,0,0,NA,282,1,0,0,34.2
"MATTMCGLOIN","Matt McGloin","QB","OAK",44,320,522,5,4,12,0,NA,0,0,0,0,34.08
"PAULRICHARDSON","Paul Richardson","WR","SEA",133,321,0,0,0,0,0,NA,276,1,0,0,33.6
"WILLISMCGAHEE","Willis McGahee","RB",NA,95,322,0,0,0,185,2,NA,27,0,0,0,33.2
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",96,323,0,0,0,210,2,NA,18,0,0,1,32.8
"LAVONBRAZILL","LaVon Brazill","WR",NA,134,324,0,0,0,0,0,NA,280,1,0,1,32
"CHRISOWUSU","Chris Owusu","WR","TB",135,325,0,0,0,0,0,NA,256,1,0,0,31.6
"JOHNATHANFRANKLIN","Johnathan Franklin","RB",NA,97,326,0,0,0,167,1,NA,127,0,0,2,31.4
"TYLERGAFFNEY","Tyler Gaffney","RB","NE",98,327,0,0,0,185,1,NA,63,0,0,0,30.8
"GRIFFWHALEN","Griff Whalen","WR","IND",136,328,0,0,0,0,0,NA,245,1,0,0,30.5
"LARODSTEPHENSHOWLING","LaRod Stephens-Howling","RB",NA,99,329,0,0,0,211,1,NA,33,0,0,0,30.4
"MIKEGOODSON","Mike Goodson","RB","NYJ",100,330,0,0,0,155,1,NA,88,0,0,0,30.3
"JOSHHUFF","Josh Huff","WR","PHI",137,330,0,0,0,0,0,NA,243,1,0,0,30.3
"JOSHMORGAN","Josh Morgan","WR","CHI",138,332,0,0,0,0,0,NA,261,1,0,1,30.1
"ANDRECALDWELL","Andre Caldwell","WR","DEN",139,333,0,0,0,5,0,NA,233,1,0,0,29.8
"JURONCRINER","Juron Criner","WR","OAK",140,334,0,0,0,0,0,NA,230,1,0,0,29
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",141,335,0,0,0,28,0,NA,220,1,0,1,28.8
"JARVISLANDRY","Jarvis Landry","WR","MIA",142,336,0,0,0,0,0,NA,214,1,0,0,27.4
"DEREKCARR","Derek Carr","QB","OAK",45,337,452,3,3,29,0,NA,0,0,0,0,26.98
"TANDONDOSS","Tandon Doss","WR","JAX",143,338,0,0,0,0,0,NA,289,0,0,1,26.9
"JOSHBOYCE","Josh Boyce","WR","NE",144,339,0,0,0,0,0,NA,201,1,0,0,26.1
"DREWDAVIS","Drew Davis","WR","ATL",145,340,0,0,0,0,0,NA,193,1,0,0,25.3
"SHAUNHILL","Shaun Hill","QB","STL",46,341,421,3,3,21,0,NA,0,0,0,0,24.94
"NICKTOON","Nick Toon","WR","NO",146,342,0,0,0,0,0,NA,165,1,0,0,22.5
"DAVONEBESS","Davone Bess","WR",NA,147,343,0,0,0,0,0,NA,228,0,0,1,20.8
"AJMCCARRON","AJ McCarron","QB","CIN",47,344,367,3,3,1,0,NA,0,0,0,0,20.78
"JASONCAMPBELL","Jason Campbell","QB","CIN",48,345,333,2,1,13,0,NA,0,0,0,0,20.62
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",49,346,321,2,2,13,0,NA,0,0,0,0,18.14
"KYLEORTON","Kyle Orton","QB",NA,50,347,324,2,2,7,0,NA,0,0,0,0,17.66
"LEONARDHANKERSON","Leonard Hankerson","WR","WAS",148,348,0,0,0,0,0,NA,109,1,0,0,16.9
"JACOBYFORD","Jacoby Ford","WR","NYJ",149,349,0,0,0,83,0,NA,102,0,0,1,16.5
"DOMENIKHIXON","Domenik Hixon","WR",NA,150,350,0,0,0,0,0,NA,130,0,0,0,13
